"Citizenship (5), Place of Birth (236), Immigrant Status and Period of Immigration (11), Age Groups (10) and Sex (3) for the Population in Private Households of Canada, Provinces, Territories, Census Metropolitan Areas and Census Agglomerations, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Immigrant status and period of immigration (11) =   Immigrants [3]"
"Age groups (10) = Total - Age groups"
"Sex (3) = Total - Sex"
"Place of birth (236)","Total - Citizenship [4]","  Canadian citizens","    Canadian citizens only","    Citizens of Canada and at least one other country","  Not Canadian citizens [5]", 
"        Spain",9060,7495,5865,1630,1565 
"      Europe, n.i.e. [13]",40,30,20,0,0 
"    Africa",492025,340925,281560,59360,151105 
"      Western Africa",76070,46850,39095,7760,29215 
"        Benin",1605,645,495,155,960 
"        Burkina Faso",1010,385,295,90,625 
"        Cape Verde",175,170,140,35,10 
"        Côte d'Ivoire",5570,2230,1700,535,3340 
"        Gambia",490,355,280,75,140 
"        Ghana",21260,17950,16435,1520,3310 
"        Guinea",3795,1970,1635,335,1825 
"        Guinea-Bissau",85,55,45,0,30 
"        Liberia",2125,1425,1335,95,705 
"        Mali",1435,790,575,215,640 
"        Mauritania",485,285,250,35,200 
"        Niger",625,230,145,85,395 
"        Nigeria",27625,15225,11795,3425,12405 
"        Senegal",4985,2300,1610,695,2680 
"        Sierra Leone",2395,1800,1560,240,595 
"        Togo",2390,1035,820,220,1350 
"      Eastern Africa",154590,118790,108175,10620,35800 
"        Burundi",6225,3370,2615,750,2855 
"        Comoros",175,105,85,0,75 
"        Djibouti",1330,770,700,65,565 
"        Eritrea",7750,5225,4750,480,2520 
"        Ethiopia",24535,17675,16850,825,6860 
"        Kenya",24515,20395,18805,1585,4115 
"        Madagascar",3335,2375,1945,435,955 
"        Malawi",610,540,465,70,75 
"        Mauritius",13160,9060,7010,2050,4100 
"        Mozambique",1125,950,755,200,175 
"        Réunion",265,100,50,50,160 
"        Rwanda",4920,2735,2225,515,2180 
"        Seychelles",905,735,595,140,170 
"        Somalia",22255,17655,16005,1655,4595 
"        Tanzania [14]",19465,18085,17610,480,1380 
"        Uganda",11750,10420,9785,635,1330 
"        Zambia",3220,2505,2310,190,715 
"        Zimbabwe",9060,6085,5620,465,2975 
"      Northern Africa",186745,122095,86875,35220,64650 
"        Algeria",51080,29735,18360,11375,21350 
"        Egypt",49935,38035,28935,9095,11895 
"        Libya [15]",4705,2555,2030,525,2150 
"        Morocco",56280,35565,25295,10270,20715 
"        Sudan",13755,9990,8490,1505,3770 
"        Tunisia",10985,6210,3765,2450,4775 
"      Central Africa",32640,18900,16930,1970,13740 
"        Angola",2565,1950,1485,470,620 
"        Cameroon",8105,2925,2585,340,5180 
"        Central African Republic",235,70,45,25,160 
"        Chad",750,475,400,80,275 
"        Congo, The Democratic Republic of the",18445,12110,11285,820,6335 
"        Congo, Republic of the",1655,925,810,120,720 
"        Equatorial Guinea",55,0,0,0,45 
"        Gabon",830,420,315,105,410 
"      Southern Africa",41955,34260,30475,3785,7695 
"        Botswana",355,150,140,0,210 
"        Lesotho",90,65,70,0,20 
"        Namibia",680,335,285,45,345 
"        South Africa, Republic of",40555,33465,29750,3715,7085 
"        Swaziland",280,245,230,0,30 
"      Africa, n.i.e. [16]",25,20,10,0,0 
"    Asia",3041100,2215690,2005970,209715,825410 
"      West Central Asia and the Middle East",455940,335100,261265,73830,120845 
"        Afghanistan",40945,30685,26540,4140,10260 
"        Armenia",3495,2320,2060,265,1180 
"        Azerbaijan",2930,1780,1475,305,1150 
"        Bahrain",1995,1560,1400,155,435 
"        Cyprus",3780,3550,2840,710,230 
"        Georgia",1655,1190,1080,100,470 
"        Iran [17]",120685,88730,67145,21585,31955 
"        Iraq",49520,31840,26255,5590,17680 
"        Israel",22845,17575,11955,5625,5270 
"        Jordan",9400,5895,4490,1405,3505 
"        Kazakhstan",9360,5355,4665,695,4000 
"        Kuwait",12860,9895,8330,1565,2960 
"        Kyrgyzstan",1740,1050,970,80,690 
"        Lebanon",81105,67770,50050,17715,13335 
"        Oman",1385,995,865,130,390 
"        Qatar",1650,1080,940,135,570 
"        Saudi Arabia",13515,8925,7575,1350,4590 
"        Syria [18]",22085,17260,13220,4040,4825 
"        Tajikistan",1060,600,490,105,460 
"        Turkey",25275,17875,12885,4990,7400 
"        Turkmenistan",425,295,210,80,135 
"        United Arab Emirates",14355,8965,7725,1240,5385 
"        Uzbekistan",4795,2705,2080,620,2090 
"        West Bank and Gaza Strip (Palestine) [19]",7395,6050,5065,995,1340 
"        Yemen",1700,1160,950,210,535 
"      Eastern Asia",962560,713910,662715,51195,248650 
"        China [20]",545535,374735,362435,12295,170800 
"        Hong Kong Special Administrative Region",205425,194650,174550,20100,10775 
"        Japan",25805,11230,10130,1100,14570 
"        Korea, North [21]",340,230,220,0,115 
"        Korea, South [22]",112400,73795,71575,2215,38605 
"        Macao Special Administrative Region",5565,5240,4710,535,320 
"        Mongolia",1035,265,230,25,770 
"        Taiwan",66455,53770,38850,14920,12690 
"      Southeast Asia",729800,527815,502890,24925,201985 
"        Brunei Darussalam",3945,3645,3610,35,300 
"        Burma (Myanmar)",8080,4525,4235,285,3550 
"        Cambodia",23755,21385,20345,1040,2375 
"        Indonesia",13520,9225,8820,405,4295 
"        Laos [23]",14305,13620,13275,350,685 
"        Malaysia",22365,17180,16580,600,5180 
